stock_code,panel_months,zero_months,units,zero_share
21635,24,8,398,0.3333
21636,24,5,985,0.2083
21637,24,7,1358,0.2917
21638,24,3,1017,0.1250
21639,24,22,259,0.9167
21640,24,1,2195,0.0417
21641,24,2,1666,0.0833
21642,24,2,4395,0.0833
21643,24,0,1521,0.0000
21644,24,1,1087,0.0417
21645,24,12,969,0.5000
21647,24,4,848,0.1667
21648,24,1,2937,0.0417
21649,24,22,421,0.9167
21650,24,2,3110,0.0833
21651,24,9,1361,0.3750
21652,24,15,896,0.6250
21653,23,12,1246,0.5217
21654,24,4,1183,0.1667
21655,24,14,1396,0.5833
21656,24,6,985,0.2500
21657,24,9,257,0.3750
21658,24,3,2225,0.1250
21659,24,13,120,0.5417
21661,24,10,239,0.4167
21662,24,4,269,0.1667
21663,24,19,76,0.7917
21664,24,4,258,0.1667
21665,24,18,879,0.7500
21666,24,1,1736,0.0417
21667,24,11,354,0.4583
21668,24,0,10318,0.0000
21669,24,2,10535,0.0833
21670,24,0,8822,0.0000
21671,24,3,9365,0.1250
21672,24,0,11054,0.0000
21673,24,0,10022,0.0000
21674,24,20,43,0.8333
21675,24,1,1764,0.0417
21676,24,1,1191,0.0417
21677,24,0,2113,0.0000
21678,24,1,570,0.0417
21679,24,0,4837,0.0000
21680,24,0,2817,0.0000
21681,24,11,233,0.4583
21682,24,0,558,0.0000
21683,24,0,930,0.0000
21684,24,0,1683,0.0000
21685,24,23,3,0.9583
21686,24,7,65,0.2917
21687,24,14,477,0.5833
21688,24,1,912,0.0417
21689,24,3,336,0.1250
21690,24,10,258,0.4167
21691,24,13,249,0.5417
21692,24,9,502,0.3750
21693,24,0,859,0.0000
21694,24,3,550,0.1250
21695,24,0,629,0.0000
21696,24,0,749,0.0000
21697,24,21,372,0.8750
21698,24,2,501,0.0833
21699,24,21,108,0.8750
21700,24,0,6321,0.0000
21702,24,21,2636,0.8750
21703,24,0,14435,0.0000
21704,24,0,17101,0.0000
21705,24,6,1700,0.2500
21706,24,0,1339,0.0000
21707,24,1,997,0.0417
21708,24,2,610,0.0833
21709,24,1,695,0.0417
21710,24,1,726,0.0417
21711,24,3,382,0.1250
21713,24,0,2729,0.0000
21714,24,0,4242,0.0000
21715,24,0,3549,0.0000
21716,24,0,3700,0.0000
21717,24,9,1554,0.3750
21718,24,0,4010,0.0000
21719,24,0,902,0.0000
21720,24,6,1068,0.2500
21721,24,3,1089,0.1250
21722,24,1,344,0.0417
21723,24,0,864,0.0000
21724,24,0,993,0.0000
21725,24,0,1135,0.0000
21726,24,1,1064,0.0417
21728,24,16,298,0.6667
21729,24,22,124,0.9167
21730,24,3,1101,0.1250
21731,24,0,28425,0.0000
21732,24,14,925,0.5833
21733,24,0,17305,0.0000
21734,24,20,97,0.8333
21735,24,4,853,0.1667
21736,24,10,193,0.4167
21737,24,13,398,0.5417
21738,24,5,422,0.2083
21739,24,3,471,0.1250
21740,24,19,201,0.7917
21741,24,3,701,0.1250
21742,24,0,417,0.0000
21743,24,3,1288,0.1250
21744,24,8,898,0.3333
21745,24,0,2643,0.0000
21746,24,0,5965,0.0000
21747,24,1,2049,0.0417
21749,24,0,5657,0.0000
21750,24,3,309,0.1250
21752,24,18,77,0.7500
21754,24,0,7537,0.0000
21755,24,0,5609,0.0000
21756,24,4,1588,0.1667
21757,24,17,80,0.7083
21758,24,1,134,0.0417
21759,23,19,30,0.8261
21760,21,15,15,0.7143
21761,24,9,64,0.3750
21763,23,14,43,0.6087
21764,24,20,17,0.8333
21765,24,13,371,0.5417
21767,24,23,1,0.9583
21768,24,15,497,0.6250
21769,24,11,123,0.4583
21770,24,7,2898,0.2917
21772,23,22,1,0.9565
21773,24,0,1635,0.0000
21774,24,0,1700,0.0000
21775,24,0,870,0.0000
21777,24,11,1126,0.4583
21779,24,22,301,0.9167
21780,24,22,203,0.9167
21781,24,4,655,0.1667
21784,24,2,290,0.0833
21785,24,9,2005,0.3750
21786,24,0,7389,0.0000
21787,21,0,13886,0.0000
21788,24,0,3327,0.0000
21789,24,0,2895,0.0000
21790,24,0,26577,0.0000
21791,24,0,17211,0.0000
21792,23,3,494,0.1304
21793,23,2,352,0.0870
21794,23,2,713,0.0870
21795,24,15,441,0.6250
21796,24,15,324,0.6250
21801,24,4,3398,0.1667
21802,24,3,4377,0.1250
21803,24,5,4451,0.2083
21804,24,14,593,0.5833
21805,24,15,2221,0.6250
21806,24,13,2707,0.5417
21807,24,7,3225,0.2917
21808,24,11,995,0.4583
21809,24,8,2982,0.3333
21810,24,9,6420,0.3750
21811,24,0,6340,0.0000
21812,24,1,792,0.0417
21813,24,9,740,0.3750
21814,24,6,670,0.2500
21815,24,8,679,0.3333
21816,24,14,422,0.5833
21817,24,14,1687,0.5833
21818,24,3,4112,0.1250
21819,24,11,3721,0.4583
21820,24,3,781,0.1250
21821,24,11,712,0.4583
21822,24,15,909,0.6250
21823,24,6,2468,0.2500
21824,24,11,2782,0.4583
21825,24,18,733,0.7500
21826,24,8,1800,0.3333
21827,24,10,835,0.4167
21828,24,0,1083,0.0000
21829,24,1,15035,0.0417
21830,24,0,7658,0.0000
21832,24,0,3325,0.0000
21833,24,0,6155,0.0000
21836,24,10,249,0.4167
21837,24,18,244,0.7500
21838,24,23,1,0.9583
21839,24,11,201,0.4583
21841,24,5,437,0.2083
21842,24,20,551,0.8333
21843,24,0,6040,0.0000
21844,24,0,5372,0.0000
21845,24,0,2521,0.0000
21846,24,1,1595,0.0417
21847,24,4,347,0.1667
21849,24,2,630,0.0833
21850,24,2,443,0.0833
21851,24,0,627,0.0000
21852,24,23,2,0.9583
21853,24,22,3,0.9167
21854,24,23,1,0.9583
21857,23,22,2,0.9565
21858,24,22,2,0.9167
21860,24,23,1,0.9583
21864,24,0,1793,0.0000
21865,24,0,890,0.0000
21866,24,0,2143,0.0000
21867,24,0,1132,0.0000
21868,24,0,9070,0.0000
21869,24,18,1264,0.7500
21870,24,4,6083,0.1667
21871,24,0,11361,0.0000
21872,24,0,5043,0.0000
21873,24,0,1998,0.0000
21874,24,0,6250,0.0000
21875,24,0,6745,0.0000
21876,24,0,5571,0.0000
21877,24,0,13977,0.0000
21878,21,0,5580,0.0000
21879,24,0,1552,0.0000
21880,24,0,2466,0.0000
21881,24,0,1317,0.0000
21882,24,2,1052,0.0833
21883,24,0,2334,0.0000
21884,24,0,1435,0.0000
21888,24,0,3517,0.0000
21889,24,0,12498,0.0000
21890,24,0,3456,0.0000
21891,24,0,11573,0.0000
21892,24,0,7615,0.0000
21893,24,21,172,0.8750
21894,24,0,1315,0.0000
21895,24,12,555,0.5000
21896,24,0,2385,0.0000
21897,24,9,866,0.3750
21898,24,9,827,0.3750
21899,24,0,6602,0.0000
21900,24,0,8240,0.0000
21901,24,0,6093,0.0000
21902,24,0,5320,0.0000
21903,24,0,3375,0.0000
21904,24,6,757,0.2500
21905,24,0,1541,0.0000
21906,24,0,1779,0.0000
21907,23,0,5086,0.0000
21908,24,0,9448,0.0000
21910,24,9,1066,0.3750
21911,24,7,2546,0.2917
21912,24,0,3442,0.0000
21913,24,0,1123,0.0000
21914,24,1,12479,0.0417
21915,24,2,35167,0.0833
21916,24,0,10917,0.0000
21917,24,0,7947,0.0000
21918,24,0,14504,0.0000
21919,24,20,6,0.8333
21922,20,0,1435,0.0000
21923,24,15,337,0.6250
21924,24,14,315,0.5833
21925,20,0,1197,0.0000
21926,20,1,1001,0.0500
21927,20,0,1249,0.0000
21928,24,0,23966,0.0000
21929,24,1,25413,0.0417
21930,24,0,13092,0.0000
21931,24,0,28819,0.0000
21932,24,0,3820,0.0000
21933,24,0,4063,0.0000
21934,24,0,4494,0.0000
21935,24,0,6955,0.0000
21936,24,0,7767,0.0000
21937,24,4,4096,0.1667
21942,24,1,1658,0.0417
21943,24,1,589,0.0417
21944,24,2,1742,0.0833
21945,24,1,1854,0.0417
21946,24,4,619,0.1667
21947,24,0,1668,0.0000
21948,24,0,2288,0.0000
21949,24,0,2588,0.0000
21950,24,19,211,0.7917
21955,24,0,3897,0.0000
21967,24,1,15613,0.0417
21972,24,0,1054,0.0000
21973,24,1,1670,0.0417
21974,24,0,6988,0.0000
21975,24,0,31226,0.0000
21976,24,0,14479,0.0000
21977,24,0,55827,0.0000
21980,24,0,31247,0.0000
21981,24,2,26136,0.0833
21982,24,2,31968,0.0833
21983,24,0,6062,0.0000
21984,24,0,25310,0.0000
21985,24,0,25430,0.0000
21986,24,0,13442,0.0000
21987,24,0,6401,0.0000
21988,24,0,7814,0.0000
21989,24,0,8526,0.0000
21990,24,0,2358,0.0000
21991,24,2,1067,0.0833
21992,24,0,3320,0.0000
21993,24,1,2716,0.0417
22016,4,3,1,0.7500
22021,24,14,1413,0.5833
22023,24,0,4960,0.0000
22024,24,0,5356,0.0000
22025,24,0,3952,0.0000
22026,24,0,4009,0.0000
22027,24,0,11197,0.0000
22028,24,0,6303,0.0000
22029,24,0,17238,0.0000
22030,24,1,12658,0.0417
22031,24,0,1099,0.0000
22032,24,1,980,0.0417
22033,24,4,1603,0.1667
22034,24,15,1617,0.6250
22035,24,1,4083,0.0417
22036,24,14,1649,0.5833
22037,24,1,6753,0.0417
22038,24,4,1125,0.1667
22039,24,9,850,0.3750
22040,24,1,2815,0.0417
22041,24,0,7483,0.0000
22042,24,9,1690,0.3750
22043,24,10,2147,0.4167
22044,24,13,1940,0.5417
22045,24,0,14392,0.0000
22046,24,0,6300,0.0000
22047,24,0,8200,0.0000
22048,24,1,2790,0.0417
22049,24,15,3500,0.6250
22050,24,0,3275,0.0000
22051,24,0,3175,0.0000
22052,24,6,3525,0.2500
22053,24,2,4551,0.0833
22054,24,20,361,0.8333
22055,24,0,4655,0.0000
22056,24,16,607,0.6667
22057,24,0,2884,0.0000
22058,24,12,520,0.5000
22059,24,0,4436,0.0000
22060,24,6,733,0.2500
22061,24,0,1951,0.0000
22062,24,1,761,0.0417
22063,24,0,2101,0.0000
22064,24,0,6197,0.0000
22065,24,5,8113,0.2083
22066,24,0,3419,0.0000
22067,24,0,1803,0.0000
22068,24,0,942,0.0000
22069,24,0,849,0.0000
22070,24,0,1827,0.0000
22071,24,0,1521,0.0000
22072,24,0,2200,0.0000
22073,24,6,2124,0.2500
22074,24,0,1970,0.0000
22075,24,1,2568,0.0417
22076,24,0,2000,0.0000
22077,24,1,16951,0.0417
22078,24,2,3944,0.0833
22079,24,0,4960,0.0000
22080,24,4,3828,0.1667
22081,24,0,1524,0.0000
22082,24,0,7153,0.0000
22083,24,0,13535,0.0000
22084,24,2,8792,0.0833
22085,24,0,2527,0.0000
22086,24,1,32996,0.0417
22087,24,5,8429,0.2083
22088,24,4,4399,0.1667
22089,24,0,3500,0.0000
22090,24,0,16588,0.0000
22091,24,0,3168,0.0000
22092,24,3,926,0.1250
22093,24,1,2289,0.0417
22094,24,0,3501,0.0000
22095,24,0,2822,0.0000
22096,24,1,1443,0.0417
22097,24,0,1842,0.0000
22098,24,0,2802,0.0000
22099,24,0,2102,0.0000
22100,24,2,895,0.0833
22101,24,0,1893,0.0000
22102,24,1,1842,0.0417
22103,24,3,1746,0.1250
22104,24,1,1176,0.0417
22105,24,3,689,0.1250
22106,23,0,500,0.0000
22107,24,0,1106,0.0000
22108,24,2,272,0.0833
22109,24,0,3173,0.0000
22110,24,0,2503,0.0000
22111,24,0,9369,0.0000
22112,24,0,10490,0.0000
22113,24,8,5632,0.3333
22114,24,4,11069,0.1667
22115,24,0,2816,0.0000
22116,24,0,810,0.0000
22117,24,0,1760,0.0000
22118,24,2,709,0.0833
22119,24,0,761,0.0000
22120,24,4,1012,0.1667
22121,24,6,1473,0.2500
22122,24,15,1095,0.6250
22123,24,0,544,0.0000
22124,24,1,240,0.0417
22125,24,18,653,0.7500
22127,24,8,3468,0.3333
22128,24,0,3923,0.0000
22129,24,0,3224,0.0000
22130,24,2,9683,0.0833
22131,24,0,5211,0.0000
22132,24,0,3324,0.0000
22133,24,0,2443,0.0000
22134,24,0,2041,0.0000
22135,24,0,1590,0.0000
22136,24,1,1987,0.0417
22137,24,5,606,0.2083
22138,24,0,9089,0.0000
22139,24,0,10410,0.0000
22141,24,11,3525,0.4583
22142,24,12,4152,0.5000
22143,24,15,446,0.6250
22144,24,8,4860,0.3333
22145,24,12,1306,0.5000
22146,24,14,1413,0.5833
22147,24,0,12795,0.0000
22148,24,3,3225,0.1250
22149,24,0,12674,0.0000
22150,24,0,7596,0.0000
22151,24,0,27251,0.0000
22152,24,2,6211,0.0833
22153,24,6,5411,0.2500
22154,24,4,6867,0.1667
22155,24,0,5758,0.0000
22156,24,0,6069,0.0000
22157,24,14,1698,0.5833
22158,24,3,8853,0.1250
22161,24,0,6581,0.0000
22162,24,1,1218,0.0417
22163,24,1,1219,0.0417
22164,24,9,315,0.3750
22165,24,0,779,0.0000
22166,24,0,341,0.0000
22167,24,0,683,0.0000
22168,24,7,659,0.2917
22169,24,1,2216,0.0417
22170,24,1,2341,0.0417
22171,24,0,3102,0.0000
22172,24,14,378,0.5833
22173,24,3,4957,0.1250
22174,24,2,5036,0.0833
22175,24,0,1760,0.0000
22176,24,1,1184,0.0417
22177,24,17,325,0.7083
22178,24,0,39091,0.0000
22179,24,0,1959,0.0000
22180,24,0,975,0.0000
22181,24,0,1538,0.0000
22182,24,0,481,0.0000
22183,24,4,586,0.1667
22184,24,10,389,0.4167
22185,24,0,3597,0.0000
22186,24,4,1962,0.1667
22187,24,6,2068,0.2500
22188,24,1,10001,0.0417
22189,24,1,15781,0.0417
22190,24,0,1259,0.0000
22191,24,2,1939,0.0833
22192,24,2,1393,0.0833
22193,24,5,1850,0.2083
22194,24,3,373,0.1250
22195,24,0,5035,0.0000
22196,24,0,6404,0.0000
22197,24,0,82282,0.0000
22198,24,9,7331,0.3750
22199,24,0,1734,0.0000
22200,24,0,1252,0.0000
22201,24,0,481,0.0000
22202,24,7,1074,0.2917
22203,24,0,1326,0.0000
22204,24,0,514,0.0000
22206,18,10,14,0.5556
22207,24,0,3008,0.0000
22208,24,0,2310,0.0000
22209,24,0,1322,0.0000
22210,24,0,1485,0.0000
22211,24,0,1515,0.0000
22212,24,0,3942,0.0000
22214,24,0,523,0.0000
22215,24,0,994,0.0000
22216,24,0,1206,0.0000
22217,24,0,2009,0.0000
22218,24,11,1232,0.4583
22219,24,0,9711,0.0000
22220,24,1,660,0.0417
22221,24,0,868,0.0000
22222,24,0,1483,0.0000
22223,24,0,722,0.0000
22224,24,0,2342,0.0000
22227,24,0,5952,0.0000
22228,24,1,1698,0.0417
22229,24,4,1004,0.1667
22230,24,0,1651,0.0000
22231,24,0,2106,0.0000
22232,24,0,1060,0.0000
22233,24,1,906,0.0417
22236,24,0,1127,0.0000
22241,24,0,4349,0.0000
22242,24,9,4756,0.3750
22243,24,2,7678,0.0833
22244,24,3,4760,0.1250
22245,24,3,4633,0.1250
22246,24,0,1081,0.0000
22247,24,7,1184,0.2917
22248,24,2,1012,0.0833
22249,24,4,1635,0.1667
22250,24,0,1519,0.0000
22251,24,0,1868,0.0000
22252,24,0,944,0.0000
22253,24,19,964,0.7917
22254,24,0,1374,0.0000
22255,24,0,1161,0.0000
22256,24,9,933,0.3750
22257,23,12,419,0.5217
22258,24,10,1342,0.4167
22259,23,11,590,0.4783
22260,24,0,1550,0.0000
22261,24,2,2097,0.0833
22262,24,0,2018,0.0000
22263,24,2,835,0.0833
22264,24,4,2013,0.1667
22265,24,2,1843,0.0833
22266,24,6,2466,0.2500
22267,24,9,1423,0.3750
22268,24,2,2554,0.0833
22269,24,0,1487,0.0000
22270,24,4,685,0.1667
22271,24,0,4866,0.0000
22272,24,6,1371,0.2500
22273,24,0,7289,0.0000
22274,24,0,3716,0.0000
22275,24,11,946,0.4583
22276,24,0,1883,0.0000
22277,24,0,1387,0.0000
22278,24,0,991,0.0000
22279,24,0,1413,0.0000
22280,24,0,870,0.0000
22281,24,9,510,0.3750
22282,24,0,558,0.0000
22283,24,0,1025,0.0000
22284,24,0,2452,0.0000
22285,24,0,2692,0.0000
22286,24,6,1936,0.2500
22287,24,7,1339,0.2917
22288,24,5,1308,0.2083
22289,24,4,764,0.1667
22290,24,20,670,0.8333
22291,24,1,3193,0.0417
22292,24,0,2779,0.0000
22293,24,2,2034,0.0833
22294,24,0,16566,0.0000
22295,24,2,8363,0.0833
22296,24,1,9669,0.0417
22297,24,0,13624,0.0000
22299,24,0,3383,0.0000
22300,24,0,4064,0.0000
22301,24,0,4950,0.0000
22302,24,1,4862,0.0417
22303,24,0,5367,0.0000
22304,24,1,2337,0.0417
22305,24,0,2255,0.0000
22306,24,10,1559,0.4167
22307,24,11,1169,0.4583
22308,24,0,663,0.0000
22309,24,1,1319,0.0417
22310,24,1,1725,0.0417
22311,24,0,1955,0.0000
22312,24,0,1184,0.0000
22313,24,1,955,0.0417
22314,24,0,1005,0.0000
22315,24,0,2133,0.0000
22316,24,0,1254,0.0000
22317,24,0,587,0.0000
22318,24,0,1580,0.0000
22319,24,0,2363,0.0000
22320,24,0,595,0.0000
22321,24,0,2525,0.0000
22322,24,0,1617,0.0000
22323,24,11,635,0.4583
22324,24,0,658,0.0000
22325,24,0,699,0.0000
22326,23,0,15174,0.0000
22327,23,0,3014,0.0000
22328,23,0,12855,0.0000
22329,23,0,5147,0.0000
22330,24,21,128,0.8750
22331,24,0,3641,0.0000
22332,24,0,4150,0.0000
22333,24,0,10009,0.0000
22334,24,0,2222,0.0000
22335,24,0,8602,0.0000
22336,24,2,4661,0.0833
22337,24,12,2469,0.5000
22338,24,6,5542,0.2500
22339,24,8,3521,0.3333
22340,24,9,1643,0.3750
22341,24,0,3462,0.0000
22342,24,0,1809,0.0000
22343,24,0,2925,0.0000
22344,24,1,1355,0.0417
22345,24,0,1226,0.0000
22346,24,3,1069,0.1250
22347,24,15,2716,0.6250
22348,24,0,12403,0.0000
22349,24,0,2562,0.0000
22350,24,0,2821,0.0000
22351,16,13,15,0.8125
22352,24,0,7052,0.0000
22353,24,8,3039,0.3333
22354,24,0,2227,0.0000
22355,24,0,30825,0.0000
22356,24,0,19749,0.0000
22357,23,0,2042,0.0000
22358,23,0,2626,0.0000
22359,21,0,1275,0.0000
22360,24,2,2484,0.0833
22361,21,0,1830,0.0000
22362,21,0,742,0.0000
22363,21,0,774,0.0000
22364,21,0,2043,0.0000
22365,23,0,2315,0.0000
22366,23,0,2536,0.0000
22367,23,0,7926,0.0000
22371,22,0,1775,0.0000
22372,22,0,591,0.0000
22374,22,0,1012,0.0000
22375,22,0,578,0.0000
22376,22,0,521,0.0000
22377,23,0,3612,0.0000
22378,23,0,3732,0.0000
22379,23,0,15615,0.0000
22380,23,0,4849,0.0000
22381,23,0,9198,0.0000
22382,23,0,20105,0.0000
22383,23,0,24897,0.0000
22384,23,0,20652,0.0000
22385,23,0,16706,0.0000
22386,23,0,38978,0.0000
22389,21,2,599,0.0952
22390,21,0,763,0.0000
22391,21,2,284,0.0952
22393,21,0,588,0.0000
22394,20,2,321,0.1000
22395,20,2,154,0.1000
22396,21,0,1843,0.0000
22398,21,0,4077,0.0000
22399,21,0,4016,0.0000
22400,21,0,2414,0.0000
22402,21,0,3372,0.0000
22403,21,0,1690,0.0000
22405,21,0,1543,0.0000
22406,21,0,2394,0.0000
22407,21,3,414,0.1429
22408,21,2,614,0.0952
22409,21,0,1683,0.0000
22410,21,0,1281,0.0000
22411,23,0,26784,0.0000
22412,23,0,2401,0.0000
22413,23,0,5526,0.0000
22414,23,0,1171,0.0000
22415,24,10,317,0.4167
22416,22,0,1952,0.0000
22417,23,0,21302,0.0000
22418,19,0,12204,0.0000
22419,19,0,6663,0.0000
22420,19,0,2080,0.0000
22421,19,0,4636,0.0000
22422,19,0,2205,0.0000
22423,21,0,26029,0.0000
22424,19,0,1508,0.0000
22425,19,0,848,0.0000
22426,20,0,1324,0.0000
22427,19,0,3210,0.0000
22428,20,0,455,0.0000
22429,21,1,2262,0.0476
22430,19,0,1395,0.0000
22431,22,0,3349,0.0000
22432,22,0,3471,0.0000
22433,22,0,2771,0.0000
22434,20,0,2523,0.0000
22435,20,0,4772,0.0000
22436,20,0,4171,0.0000
22437,20,0,6443,0.0000
22438,20,0,862,0.0000
22439,20,0,3821,0.0000
22440,20,0,8483,0.0000
22441,21,0,2585,0.0000
22442,21,2,673,0.0952
22443,21,3,683,0.1429
22444,21,6,10132,0.2857
22445,21,0,1277,0.0000
22446,21,1,509,0.0476
22447,21,1,229,0.0476
22448,21,0,714,0.0000
22449,21,0,1323,0.0000
22450,21,2,834,0.0952
22451,21,6,1339,0.2857
22452,21,0,1269,0.0000
22453,21,0,764,0.0000
22454,21,1,1405,0.0476
22456,21,0,4389,0.0000
22457,21,0,14445,0.0000
22458,21,7,1523,0.3333
22459,21,7,1378,0.3333
22460,21,0,4704,0.0000
22461,21,3,410,0.1429
22464,21,0,7374,0.0000
22465,21,0,4070,0.0000
22466,21,0,5219,0.0000
22467,21,1,11584,0.0476
22468,21,0,1728,0.0000
22469,20,0,27742,0.0000
22470,20,0,17667,0.0000
22471,21,2,575,0.0952
22472,21,0,1027,0.0000
22473,21,0,769,0.0000
22474,21,0,905,0.0000
22475,21,0,720,0.0000
22476,21,0,704,0.0000
22477,21,0,2407,0.0000
22478,21,0,2726,0.0000
22479,21,0,1928,0.0000
22480,21,3,2368,0.1429
22481,21,0,1133,0.0000
22482,21,4,2319,0.1905
22483,21,0,1813,0.0000
22485,21,0,1075,0.0000
22486,21,9,83,0.4286
22487,21,0,1616,0.0000
22488,21,0,6868,0.0000
22489,21,1,17499,0.0476
22491,19,0,7392,0.0000
22492,19,0,43254,0.0000
22493,19,0,4639,0.0000
22494,23,0,2750,0.0000
22495,23,0,842,0.0000
22496,23,0,620,0.0000
22497,23,0,928,0.0000
22498,22,0,1132,0.0000
22499,22,0,3561,0.0000
22500,23,0,489,0.0000
22501,19,0,2612,0.0000
22502,19,2,3766,0.1053
22503,20,3,141,0.1500
22504,19,2,363,0.1053
22505,21,0,3750,0.0000
22507,21,0,5405,0.0000
22508,21,0,2854,0.0000
22509,21,0,276,0.0000
22510,21,3,288,0.1429
22511,21,4,367,0.1905
22512,21,4,358,0.1905
22513,21,1,527,0.0476
22514,21,0,1068,0.0000
22515,21,0,1041,0.0000
22516,21,2,827,0.0952
22517,21,0,800,0.0000
22518,21,6,1398,0.2857
22519,21,5,1425,0.2381
22520,21,6,2294,0.2857
22521,21,6,2288,0.2857
22522,21,0,2238,0.0000
22523,21,0,2170,0.0000
22524,21,6,1925,0.2857
22525,21,7,1946,0.3333
22526,21,0,540,0.0000
22528,21,11,5824,0.5238
22529,21,0,2383,0.0000
22530,21,0,9989,0.0000
22531,21,0,8072,0.0000
22532,21,0,2828,0.0000
22533,21,0,4513,0.0000
22534,21,0,12780,0.0000
22535,21,0,4418,0.0000
22536,21,0,9035,0.0000
22537,21,0,5821,0.0000
22538,21,1,1395,0.0476
22539,21,0,5306,0.0000
22540,21,0,5911,0.0000
22541,21,1,1238,0.0476
22543,21,1,3121,0.0476
22544,21,0,8785,0.0000
22545,21,0,3283,0.0000
22546,21,0,4248,0.0000
22547,21,0,1799,0.0000
22548,21,0,3526,0.0000
22549,21,0,6320,0.0000
22550,21,0,2033,0.0000
22551,21,0,15194,0.0000
22553,21,0,7628,0.0000
22554,21,0,13407,0.0000
22555,21,0,11377,0.0000
22556,21,0,13357,0.0000
22557,21,0,10203,0.0000
22558,20,2,13519,0.1000
22559,21,0,1580,0.0000
22560,21,0,13882,0.0000
22561,21,0,11340,0.0000
22562,21,0,3885,0.0000
22563,21,0,5599,0.0000
22564,21,0,4512,0.0000
22565,21,0,2063,0.0000
22566,21,0,2790,0.0000
22567,21,1,5527,0.0476
22568,21,0,5455,0.0000
22569,21,1,5521,0.0476
22570,21,0,5631,0.0000
22571,17,4,5589,0.2353
22572,17,3,3439,0.1765
22573,17,3,4609,0.1765
22574,17,1,4733,0.0588
22575,17,5,3112,0.2941
22576,17,3,2974,0.1765
22577,17,0,13303,0.0000
22578,17,5,12072,0.2941
22579,17,4,7152,0.2353
22580,17,3,2233,0.1765
22581,17,5,3195,0.2941
22582,21,0,2513,0.0000
22583,21,0,1869,0.0000
22584,21,0,5175,0.0000
22585,21,0,17452,0.0000
22586,21,0,2039,0.0000
22587,21,0,2044,0.0000
22588,17,3,2830,0.1765
22589,17,5,1300,0.2941
22591,17,5,1336,0.2941
22592,17,5,1912,0.2941
22593,17,2,5257,0.1176
22594,17,2,4683,0.1176
22595,17,0,12438,0.0000
22596,17,6,5524,0.3529
22597,17,0,4323,0.0000
22598,17,6,1692,0.3529
22599,17,6,2882,0.3529
22600,17,3,4712,0.1765
22601,17,2,5120,0.1176
22602,17,0,6251,0.0000
22603,17,4,4048,0.2353
22604,17,0,1984,0.0000
22605,20,0,1804,0.0000
22606,20,0,1065,0.0000
22607,20,2,2491,0.1000
22608,22,1,5594,0.0455
22609,22,1,6970,0.0455
22610,22,0,12428,0.0000
22611,21,3,907,0.1429
22612,21,14,1001,0.6667
22613,19,0,3009,0.0000
22614,19,0,5648,0.0000
22615,19,0,3685,0.0000
22616,19,0,38524,0.0000
22617,21,0,4144,0.0000
22618,21,7,718,0.3333
22619,19,0,3811,0.0000
22620,19,0,8000,0.0000
22621,19,0,8402,0.0000
22622,19,0,2905,0.0000
22623,19,0,2294,0.0000
22624,19,0,3083,0.0000
22625,19,0,2575,0.0000
22626,20,0,813,0.0000
22627,19,0,1565,0.0000
22628,17,0,1720,0.0000
22629,17,0,20380,0.0000
22630,17,0,17873,0.0000
22631,21,3,6200,0.1429
22632,15,5,10030,0.3333
22633,14,3,8097,0.2143
22634,19,0,1658,0.0000
22635,19,0,1641,0.0000
22636,19,0,1601,0.0000
22637,19,0,4478,0.0000
22638,17,2,351,0.1176
22639,17,0,1572,0.0000
22640,18,0,313,0.0000
22641,17,1,297,0.0588
22642,17,3,930,0.1765
22643,17,1,416,0.0588
22644,19,0,4274,0.0000
22645,19,0,5258,0.0000
22646,19,0,8158,0.0000
22647,19,2,931,0.1053
22649,19,0,2283,0.0000
22650,19,0,1757,0.0000
22651,17,0,3126,0.0000
22652,17,0,9910,0.0000
22653,17,0,2869,0.0000
22654,17,0,2502,0.0000
22655,17,1,76,0.0588
22656,17,4,45,0.2353
22657,23,20,59,0.8696
22659,21,3,15841,0.1429
22660,18,0,869,0.0000
22661,17,0,8103,0.0000
22662,17,0,9882,0.0000
22663,17,0,5694,0.0000
22664,17,0,1306,0.0000
22665,17,0,2955,0.0000
22666,17,0,10223,0.0000
22667,17,1,4677,0.0588
22668,17,0,3574,0.0000
22669,17,0,2349,0.0000
22670,16,0,4314,0.0000
22671,16,0,1675,0.0000
22672,16,0,2803,0.0000
22673,16,0,1297,0.0000
22674,16,0,2358,0.0000
22675,16,0,2165,0.0000
22676,16,0,1787,0.0000
22677,16,0,1552,0.0000
22678,16,0,1365,0.0000
22679,16,0,1243,0.0000
22680,16,0,1332,0.0000
22681,16,0,1154,0.0000
22682,16,0,1134,0.0000
22683,16,0,1121,0.0000
22684,16,0,1001,0.0000
22685,16,0,1071,0.0000
22686,16,0,1283,0.0000
22687,18,6,887,0.3333
22688,18,6,863,0.3333
22689,18,3,1092,0.1667
22690,18,0,2502,0.0000
22691,18,1,747,0.0556
22692,18,0,2114,0.0000
22693,16,0,17618,0.0000
22694,17,0,4839,0.0000
22695,17,1,1247,0.0588
22696,17,0,1398,0.0000
22697,16,0,9478,0.0000
22698,16,1,7939,0.0625
22699,16,0,12755,0.0000
22700,17,2,1384,0.1176
22701,18,0,591,0.0000
22702,18,0,1587,0.0000
22703,18,0,410,0.0000
22704,19,0,8478,0.0000
22705,19,0,3683,0.0000
22706,18,0,4122,0.0000
22707,19,0,2132,0.0000
