stock_code,selling_months,first_month,last_month,span_months,units
21333,17,2009-12,2011-04,17,1057
21335,6,2009-12,2010-05,6,42
21336,14,2009-12,2011-06,19,1823
21337,4,2009-12,2010-11,12,33
21338,5,2009-12,2010-04,5,199
21339,7,2009-12,2010-07,8,30
21340,22,2009-12,2011-12,25,1758
21341,5,2009-12,2010-10,11,72
21343,2,2009-12,2010-02,3,20
21344,15,2009-12,2011-12,25,166
21347,3,2009-12,2010-04,5,8
21348,14,2009-12,2011-01,14,842
21349,11,2009-12,2011-11,24,553
21350,6,2009-12,2010-11,12,225
21351,13,2009-12,2011-12,25,1099
21352,15,2009-12,2011-11,24,880
21353,1,2009-12,2009-12,1,19
21354,24,2009-12,2011-12,25,2476
21355,24,2009-12,2011-12,25,3452
21356,25,2009-12,2011-12,25,1592
21357,15,2009-12,2011-03,16,1388
21358,25,2009-12,2011-12,25,1129
21359,19,2009-12,2011-08,21,208
21360,19,2009-12,2011-06,19,441
21361,18,2010-02,2011-07,18,556
21363,21,2010-01,2011-09,21,984
21364,22,2009-12,2011-10,23,468
21365,21,2009-12,2011-12,25,469
21366,23,2009-12,2011-12,25,238
21367,20,2009-12,2011-12,25,211
21368,21,2009-12,2011-12,25,201
21369,17,2009-12,2011-12,25,133
21370,12,2009-12,2011-12,25,54
21371,23,2009-12,2011-12,25,404
21372,16,2009-12,2011-11,24,156
21373,13,2009-12,2011-12,25,636
21374,20,2009-12,2011-12,25,470
21375,24,2009-12,2011-12,25,134
21376,22,2009-12,2011-12,25,183
21377,24,2009-12,2011-12,25,518
21378,24,2009-12,2011-12,25,560
21379,25,2009-12,2011-12,25,641
21380,25,2009-12,2011-12,25,5031
21381,25,2009-12,2011-12,25,5104
21382,19,2010-05,2011-12,20,1238
21383,25,2009-12,2011-12,25,2204
21384,6,2009-12,2010-05,6,1917
21385,24,2009-12,2011-12,25,10832
21386,21,2010-01,2011-12,24,1148
21387,2,2010-02,2010-03,2,25
21388,4,2009-12,2010-03,4,311
21389,25,2009-12,2011-12,25,2299
21390,25,2009-12,2011-12,25,10937
21391,24,2009-12,2011-11,24,1417
21392,15,2009-12,2011-03,16,7545
21393,12,2010-01,2011-03,15,5244
21394,21,2010-01,2011-11,23,4005
21395,19,2009-12,2011-11,24,2968
21396,6,2009-12,2010-05,6,948
21397,18,2009-12,2011-05,18,2157
21398,17,2009-12,2011-04,17,2295
21399,18,2009-12,2011-06,19,2378
21400,22,2009-12,2011-12,25,1078
21401,25,2009-12,2011-12,25,1437
21402,25,2009-12,2011-12,25,1698
21403,24,2009-12,2011-12,25,2319
21406,1,2009-12,2009-12,1,1
21407,24,2009-12,2011-11,24,1294
21408,25,2009-12,2011-12,25,703
21409,1,2010-01,2010-01,1,1
21410,13,2009-12,2010-12,13,312
21411,25,2009-12,2011-12,25,2090
21412,8,2009-12,2010-11,12,275
21413,16,2009-12,2011-11,24,3162
21414,12,2009-12,2011-02,15,1637
21415,25,2009-12,2011-12,25,348
21416,13,2009-12,2011-03,16,751
21417,25,2009-12,2011-12,25,502
21418,23,2009-12,2011-12,25,194
21419,7,2009-12,2010-07,8,1259
21420,20,2010-01,2011-12,24,120
21421,18,2009-12,2011-05,18,1792
21422,24,2009-12,2011-11,24,3160
21424,23,2009-12,2011-10,23,955
21425,23,2009-12,2011-12,25,505
21426,24,2009-12,2011-12,25,1028
21427,23,2009-12,2011-12,25,507
21428,22,2009-12,2011-12,25,2883
21429,23,2009-12,2011-12,25,6359
21430,20,2009-12,2011-12,25,4621
21431,12,2009-12,2010-11,12,1483
21432,12,2009-12,2010-11,12,942
21437,4,2009-12,2010-03,4,677
21438,4,2009-12,2010-03,4,373
21439,25,2009-12,2011-12,25,2259
21440,8,2009-12,2010-07,8,472
21441,24,2009-12,2011-12,25,928
21442,25,2009-12,2011-12,25,973
21443,4,2009-12,2010-03,4,257
21444,5,2009-12,2010-04,5,291
21445,18,2009-12,2011-07,20,1519
21446,25,2009-12,2011-12,25,1258
21447,22,2009-12,2011-09,22,2776
21448,23,2009-12,2011-10,23,955
21450,1,2009-12,2009-12,1,13
21452,22,2010-03,2011-12,22,1875
21454,22,2010-01,2011-12,24,937
21455,23,2010-01,2011-12,24,901
21456,11,2009-12,2011-12,25,738
21457,11,2009-12,2011-11,24,685
21458,12,2009-12,2011-11,24,768
21459,8,2010-01,2011-04,16,263
21460,7,2010-01,2011-03,15,113
21461,8,2010-01,2011-04,16,82
21462,24,2009-12,2011-12,25,413
21463,25,2009-12,2011-12,25,1349
21464,25,2009-12,2011-12,25,539
21465,25,2009-12,2011-12,25,793
21466,25,2009-12,2011-12,25,927
21467,25,2009-12,2011-12,25,1025
21468,23,2009-12,2011-11,24,669
21469,25,2009-12,2011-12,25,1165
21470,25,2009-12,2011-12,25,1102
21471,25,2009-12,2011-12,25,1406
21472,18,2009-12,2011-07,20,1056
21473,22,2009-12,2011-11,24,157
21474,9,2010-01,2010-09,9,210
21475,1,2009-12,2009-12,1,1
21476,19,2010-01,2011-10,22,142
21477,4,2009-12,2010-03,4,273
21478,11,2009-12,2010-10,11,204
21479,17,2009-12,2011-12,25,6219
21480,1,2009-12,2009-12,1,285
21481,25,2009-12,2011-12,25,8174
21482,10,2009-12,2010-10,11,740
21484,25,2009-12,2011-12,25,4584
21485,25,2009-12,2011-12,25,7593
21486,13,2009-12,2010-12,13,1116
21488,13,2009-12,2011-03,16,2384
21489,2,2009-12,2010-02,3,28
21490,2,2009-12,2010-09,10,637
21491,9,2009-12,2010-12,13,2878
21493,2,2009-12,2010-09,10,272
21494,25,2009-12,2011-12,25,3833
21495,25,2009-12,2011-12,25,12465
21496,1,2009-12,2009-12,1,25
21497,25,2009-12,2011-12,25,17500
21498,25,2009-12,2011-12,25,26726
21499,25,2009-12,2011-12,25,15052
21500,25,2009-12,2011-12,25,15950
21503,20,2009-12,2011-11,24,1801
21504,25,2009-12,2011-12,25,4913
21506,25,2009-12,2011-12,25,10878
21507,25,2009-12,2011-12,25,8223
21508,25,2009-12,2011-12,25,6716
21509,25,2009-12,2011-12,25,8696
21511,2,2010-04,2010-05,2,40
21518,19,2009-12,2011-07,20,1107
21519,25,2009-12,2011-12,25,7356
21520,24,2009-12,2011-12,25,957
21523,25,2009-12,2011-12,25,6916
21524,25,2009-12,2011-12,25,5255
21525,1,2009-12,2009-12,1,2
21527,18,2009-12,2011-05,18,3345
21528,25,2009-12,2011-12,25,899
21529,10,2009-12,2010-09,10,503
21530,25,2009-12,2011-12,25,959
21531,25,2009-12,2011-12,25,4073
21532,11,2009-12,2010-10,11,1387
21533,25,2009-12,2011-12,25,3343
21534,25,2009-12,2011-12,25,938
21535,25,2009-12,2011-12,25,6776
21536,4,2009-12,2010-03,4,221
21537,25,2009-12,2011-12,25,1005
21538,12,2009-12,2010-12,13,1308
21539,24,2009-12,2011-11,24,2723
21540,10,2009-12,2010-09,10,1323
21541,12,2009-12,2010-11,12,1907
21542,10,2009-12,2010-10,11,1877
21543,1,2009-12,2009-12,1,284
21544,25,2009-12,2011-12,25,6064
21545,8,2009-12,2010-07,8,697
21547,15,2009-12,2011-03,16,719
21548,12,2009-12,2010-11,12,682
21549,5,2009-12,2010-04,5,547
21550,6,2009-12,2010-05,6,295
21551,2,2009-12,2010-01,2,169
21552,4,2009-12,2010-06,7,165
21553,4,2009-12,2010-04,5,90
21554,2,2009-12,2010-01,2,167
21555,25,2009-12,2011-12,25,425
21556,21,2009-12,2011-11,24,1607
21557,25,2009-12,2011-12,25,932
21558,23,2009-12,2011-12,25,4207
21559,25,2009-12,2011-12,25,8227
21560,1,2009-12,2009-12,1,4
21561,25,2009-12,2011-12,25,2969
21562,22,2010-01,2011-11,23,678
21563,25,2009-12,2011-12,25,2786
21564,25,2009-12,2011-12,25,1951
21576,24,2009-12,2011-12,25,732
21577,25,2009-12,2011-12,25,2556
21578,25,2009-12,2011-12,25,2205
21579,24,2009-12,2011-12,25,1029
21580,24,2009-12,2011-12,25,542
21581,25,2009-12,2011-12,25,1172
21582,2,2009-12,2010-02,3,117
21584,25,2009-12,2011-12,25,3769
21585,1,2010-08,2010-08,1,1
21586,23,2009-12,2011-11,24,2583
21587,14,2009-12,2011-10,23,2071
21588,25,2009-12,2011-12,25,3351
21589,7,2009-12,2010-06,7,1119
21590,12,2009-12,2010-11,12,3448
21591,24,2009-12,2011-12,25,3978
21592,25,2009-12,2011-12,25,5876
21593,6,2009-12,2010-05,6,1391
21594,5,2009-12,2011-01,14,5
21595,4,2009-12,2010-12,13,9
21596,4,2009-12,2010-11,12,10
21609,21,2009-12,2011-08,21,1499
21610,12,2009-12,2010-11,12,542
21611,11,2009-12,2010-10,11,750
21612,10,2009-12,2010-09,10,698
21613,22,2009-12,2011-10,23,632
21614,15,2009-12,2011-05,18,1627
21615,24,2009-12,2011-12,25,1168
21616,24,2009-12,2011-12,25,1152
21617,23,2009-12,2011-11,24,834
21618,23,2009-12,2011-11,24,698
21619,24,2009-12,2011-12,25,1131
21620,24,2009-12,2011-12,25,1087
21621,25,2009-12,2011-12,25,6900
21622,25,2009-12,2011-12,25,3699
21623,23,2010-02,2011-12,23,6165
21624,25,2009-12,2011-12,25,1771
21625,25,2009-12,2011-12,25,984
21626,24,2009-12,2011-11,24,1496
21627,23,2009-12,2011-10,23,195
21628,22,2009-12,2011-12,25,164
21629,25,2009-12,2011-12,25,177
21630,24,2009-12,2011-12,25,162
21631,18,2009-12,2011-11,24,221
21632,12,2009-12,2011-01,14,132
21633,19,2009-12,2011-11,24,175
21634,21,2009-12,2011-10,23,1771
21635,16,2009-12,2011-07,20,398
21636,20,2009-12,2011-12,25,1014
21637,17,2009-12,2011-10,23,1358
21638,22,2009-12,2011-12,25,1020
21639,2,2009-12,2010-03,4,259
21640,24,2009-12,2011-12,25,2225
21641,22,2009-12,2011-09,22,1666
21642,23,2009-12,2011-12,25,4413
21643,24,2009-12,2011-11,24,1521
21644,23,2009-12,2011-11,24,1087
21645,12,2009-12,2010-11,12,969
21647,20,2009-12,2011-11,24,848
21648,24,2009-12,2011-12,25,2940
21649,2,2009-12,2010-01,2,421
21650,23,2009-12,2011-12,25,3204
21651,15,2009-12,2011-02,15,1361
21652,9,2009-12,2010-08,9,896
21653,11,2010-01,2010-11,11,1246
21654,20,2009-12,2011-09,22,1183
21655,10,2009-12,2011-02,15,1396
21656,18,2009-12,2011-05,18,985
21657,15,2009-12,2011-02,15,257
21658,21,2009-12,2011-08,21,2225
21659,11,2009-12,2010-11,12,120
21661,14,2009-12,2011-02,15,239
21662,20,2009-12,2011-08,21,269
21663,5,2009-12,2010-04,5,76
21664,20,2009-12,2011-10,23,258
21665,6,2009-12,2010-05,6,879
21666,24,2009-12,2011-12,25,1760
21667,13,2009-12,2011-01,14,354
21668,25,2009-12,2011-12,25,10357
21669,23,2009-12,2011-12,25,10578
21670,25,2009-12,2011-12,25,8845
21671,22,2009-12,2011-12,25,9488
21672,25,2009-12,2011-12,25,11120
21673,25,2009-12,2011-12,25,10050
21674,4,2009-12,2010-03,4,43
21675,24,2009-12,2011-12,25,1782
21676,24,2009-12,2011-12,25,1193
21677,25,2009-12,2011-12,25,2125
21678,24,2009-12,2011-12,25,572
21679,25,2009-12,2011-12,25,4871
21680,25,2009-12,2011-12,25,2858
21681,13,2009-12,2011-02,15,233
21682,25,2009-12,2011-12,25,559
21683,25,2009-12,2011-12,25,936
21684,25,2009-12,2011-12,25,1696
21685,1,2009-12,2009-12,1,3
21686,17,2009-12,2011-10,23,65
21687,10,2009-12,2010-09,10,477
21688,23,2009-12,2011-11,24,912
21689,22,2009-12,2011-12,25,342
21690,14,2009-12,2011-01,14,258
21691,11,2009-12,2010-10,11,249
21692,15,2009-12,2011-02,15,502
21693,25,2009-12,2011-12,25,871
21694,22,2009-12,2011-12,25,556
21695,25,2009-12,2011-12,25,630
21696,24,2009-12,2011-11,24,749
21697,3,2009-12,2010-02,3,372
21698,23,2009-12,2011-12,25,530
21699,3,2009-12,2010-02,3,108
21700,25,2009-12,2011-12,25,6335
21702,3,2009-12,2010-02,3,2636
21703,25,2009-12,2011-12,25,14577
21704,25,2009-12,2011-12,25,17175
21705,19,2009-12,2011-12,25,2534
21706,25,2009-12,2011-12,25,1348
21707,24,2009-12,2011-12,25,1005
21708,23,2009-12,2011-12,25,611
21709,24,2009-12,2011-12,25,696
21710,23,2009-12,2011-11,24,726
21711,21,2009-12,2011-11,24,382
21713,25,2009-12,2011-12,25,2733
21714,25,2009-12,2011-12,25,4283
21715,25,2009-12,2011-12,25,3553
21716,25,2009-12,2011-12,25,3709
21717,15,2009-12,2011-03,16,1554
21718,25,2009-12,2011-12,25,4030
21719,25,2009-12,2011-12,25,906
21720,18,2009-12,2011-07,20,1068
21721,22,2009-12,2011-12,25,1090
21722,24,2009-12,2011-12,25,347
21723,25,2009-12,2011-12,25,866
21724,25,2009-12,2011-12,25,996
21725,24,2009-12,2011-11,24,1135
21726,24,2009-12,2011-12,25,1077
21728,8,2009-12,2010-07,8,298
21729,2,2009-12,2010-01,2,124
21730,22,2009-12,2011-12,25,1115
21731,25,2009-12,2011-12,25,28910
21732,10,2009-12,2010-09,10,925
21733,25,2009-12,2011-12,25,17575
21734,4,2009-12,2010-03,4,97
21735,20,2009-12,2011-09,22,853
21736,14,2009-12,2011-04,17,193
21737,11,2009-12,2010-10,11,398
21738,19,2009-12,2011-10,23,422
21739,22,2009-12,2011-12,25,494
21740,5,2009-12,2010-05,6,201
21741,21,2009-12,2011-11,24,701
21742,25,2009-12,2011-12,25,437
21743,21,2009-12,2011-09,22,1288
21744,16,2009-12,2011-11,24,898
21745,25,2009-12,2011-12,25,2699
21746,24,2009-12,2011-11,24,5965
21747,23,2009-12,2011-11,24,2049
21749,24,2009-12,2011-11,24,5657
21750,21,2009-12,2011-11,24,309
21752,6,2009-12,2010-09,10,77
21754,25,2009-12,2011-12,25,7595
21755,25,2009-12,2011-12,25,5643
21756,21,2009-12,2011-12,25,1612
21757,7,2009-12,2011-02,15,80
21758,24,2009-12,2011-12,25,135
21759,4,2010-01,2010-04,4,30
21760,6,2010-03,2010-09,7,15
21761,16,2009-12,2011-12,25,65
21763,9,2010-01,2011-07,19,43
21764,4,2009-12,2010-03,4,17
21765,11,2009-12,2010-11,12,371
21767,1,2009-12,2009-12,1,1
21768,9,2009-12,2010-11,12,497
21769,13,2009-12,2010-12,13,123
21770,18,2009-12,2011-12,25,2991
21772,1,2010-01,2010-01,1,1
21773,25,2009-12,2011-12,25,1642
21774,25,2009-12,2011-12,25,1711
21775,25,2009-12,2011-12,25,874
21777,13,2009-12,2010-12,13,1126
21779,2,2009-12,2010-01,2,301
21780,2,2009-12,2010-01,2,203
21781,20,2009-12,2011-07,20,655
21784,22,2009-12,2011-09,22,290
21785,15,2009-12,2011-02,15,2005
21786,25,2009-12,2011-12,25,7471
21787,22,2010-03,2011-12,22,15135
21788,25,2009-12,2011-12,25,3375
21789,25,2009-12,2011-12,25,2920
21790,25,2009-12,2011-12,25,27244
21791,25,2009-12,2011-12,25,17604
21792,20,2010-01,2011-08,20,494
21793,22,2010-01,2011-12,24,353
21794,21,2010-01,2011-10,22,713
21795,9,2009-12,2010-08,9,441
21796,9,2009-12,2010-08,9,324
21801,20,2009-12,2011-10,23,3398
21802,21,2009-12,2011-11,24,4377
21803,20,2009-12,2011-12,25,4463
21804,11,2009-12,2011-12,25,597
21805,9,2009-12,2010-11,12,2221
21806,11,2009-12,2010-11,12,2707
21807,17,2009-12,2011-11,24,3225
21808,14,2009-12,2011-12,25,1001
21809,17,2009-12,2011-12,25,3015
21810,16,2009-12,2011-12,25,6959
21811,24,2009-12,2011-11,24,6340
21812,24,2009-12,2011-12,25,805
21813,16,2009-12,2011-12,25,815
21814,18,2009-12,2011-11,24,670
21815,16,2009-12,2011-11,24,679
21816,10,2009-12,2011-11,24,422
21817,10,2009-12,2011-11,24,1687
21818,22,2009-12,2011-12,25,4196
21819,14,2009-12,2011-12,25,3847
21820,22,2009-12,2011-12,25,795
21821,14,2009-12,2011-12,25,713
21822,10,2009-12,2011-12,25,1010
21823,18,2009-12,2011-11,24,2468
21824,13,2009-12,2011-11,24,2782
21825,6,2009-12,2010-11,12,733
21826,16,2009-12,2011-03,16,1800
21827,14,2009-12,2011-03,16,835
21828,25,2009-12,2011-12,25,1105
21829,23,2009-12,2011-10,23,15035
21830,24,2009-12,2011-11,24,7658
21832,25,2009-12,2011-12,25,3338
21833,25,2009-12,2011-12,25,6239
21836,14,2009-12,2011-01,14,249
21837,6,2009-12,2010-05,6,244
21838,1,2009-12,2009-12,1,1
21839,13,2009-12,2011-03,16,201
21841,19,2009-12,2011-11,24,437
21842,4,2009-12,2010-03,4,551
21843,25,2009-12,2011-12,25,6128
21844,25,2009-12,2011-12,25,5374
21845,24,2009-12,2011-11,24,2521
21846,24,2009-12,2011-12,25,1601
21847,20,2009-12,2011-11,24,347
21849,23,2009-12,2011-12,25,633
21850,23,2009-12,2011-12,25,447
21851,25,2009-12,2011-12,25,628
21852,1,2009-12,2009-12,1,2
21853,2,2009-12,2010-04,5,3
21854,1,2009-12,2009-12,1,1
21857,1,2010-01,2010-01,1,2
21858,2,2009-12,2010-03,4,2
21860,1,2009-12,2009-12,1,1
21864,25,2009-12,2011-12,25,1853
21865,25,2009-12,2011-12,25,896
21866,25,2009-12,2011-12,25,2168
21867,25,2009-12,2011-12,25,1144
21868,25,2009-12,2011-12,25,9075
21869,6,2009-12,2010-05,6,1264
21870,20,2009-12,2011-08,21,6083
21871,25,2009-12,2011-12,25,11492
21872,25,2009-12,2011-12,25,5092
21873,25,2009-12,2011-12,25,2010
21874,25,2009-12,2011-12,25,6332
21875,25,2009-12,2011-12,25,6818
21876,25,2009-12,2011-12,25,5663
21877,25,2009-12,2011-12,25,14054
21878,22,2010-03,2011-12,22,5586
21879,25,2009-12,2011-12,25,1567
21880,25,2009-12,2011-12,25,2483
21881,25,2009-12,2011-12,25,1332
21882,22,2009-12,2011-11,24,1052
21883,25,2009-12,2011-12,25,2348
21884,25,2009-12,2011-12,25,1448
21888,25,2009-12,2011-12,25,3520
21889,25,2009-12,2011-12,25,12805
21890,25,2009-12,2011-12,25,3489
21891,25,2009-12,2011-12,25,12142
21892,25,2009-12,2011-12,25,7826
21893,3,2009-12,2010-02,3,172
21894,25,2009-12,2011-12,25,1320
21895,12,2009-12,2010-12,13,555
21896,25,2009-12,2011-12,25,2387
21897,15,2009-12,2011-04,17,866
21898,15,2009-12,2011-04,17,827
21899,25,2009-12,2011-12,25,6676
21900,25,2009-12,2011-12,25,8323
21901,25,2009-12,2011-12,25,6158
21902,25,2009-12,2011-12,25,5359
21903,25,2009-12,2011-12,25,3436
21904,18,2009-12,2011-05,18,757
21905,25,2009-12,2011-12,25,1615
21906,25,2009-12,2011-12,25,1786
21907,24,2010-01,2011-12,24,5163
21908,25,2009-12,2011-12,25,9678
21910,15,2009-12,2011-02,15,1066
21911,17,2009-12,2011-04,17,2546
21912,25,2009-12,2011-12,25,3734
21913,25,2009-12,2011-12,25,1129
21914,24,2009-12,2011-12,25,12957
21915,23,2009-12,2011-12,25,36289
21916,25,2009-12,2011-12,25,11011
21917,25,2009-12,2011-12,25,8010
21918,25,2009-12,2011-12,25,14598
21919,4,2009-12,2010-10,11,6
21922,21,2010-04,2011-12,21,1443
21923,9,2009-12,2010-08,9,337
21924,10,2009-12,2010-10,11,315
21925,21,2010-04,2011-12,21,1201
21926,20,2010-04,2011-12,21,1009
21927,21,2010-04,2011-12,21,1260
21928,25,2009-12,2011-12,25,24268
21929,24,2009-12,2011-12,25,25608
21930,25,2009-12,2011-12,25,13390
21931,25,2009-12,2011-12,25,29182
21932,25,2009-12,2011-12,25,3871
21933,25,2009-12,2011-12,25,4116
21934,25,2009-12,2011-12,25,4597
21935,25,2009-12,2011-12,25,7127
21936,25,2009-12,2011-12,25,7805
21937,21,2009-12,2011-12,25,4100
21942,24,2009-12,2011-12,25,1672
21943,24,2009-12,2011-12,25,591
21944,23,2009-12,2011-12,25,1789
21945,24,2009-12,2011-12,25,1862
21946,21,2009-12,2011-12,25,625
21947,25,2009-12,2011-12,25,1675
21948,25,2009-12,2011-12,25,2293
21949,25,2009-12,2011-12,25,2598
21950,5,2009-12,2010-04,5,211
21955,25,2009-12,2011-12,25,3911
21967,24,2009-12,2011-12,25,15652
21972,25,2009-12,2011-12,25,1055
21973,23,2009-12,2011-11,24,1670
21974,25,2009-12,2011-12,25,7046
21975,25,2009-12,2011-12,25,31332
21976,25,2009-12,2011-12,25,14570
21977,25,2009-12,2011-12,25,56061
21980,25,2009-12,2011-12,25,31337
21981,23,2009-12,2011-12,25,26204
21982,23,2009-12,2011-12,25,32086
21983,25,2009-12,2011-12,25,6118
21984,25,2009-12,2011-12,25,25351
21985,25,2009-12,2011-12,25,25523
21986,25,2009-12,2011-12,25,13476
21987,25,2009-12,2011-12,25,6417
21988,25,2009-12,2011-12,25,7829
21989,25,2009-12,2011-12,25,8552
21990,25,2009-12,2011-12,25,2453
21991,23,2009-12,2011-12,25,1103
21992,24,2009-12,2011-11,24,3320
21993,24,2009-12,2011-12,25,2849
22016,1,2011-08,2011-08,1,1
22021,10,2009-12,2011-03,16,1413
22023,25,2009-12,2011-12,25,4975
22024,25,2009-12,2011-12,25,5391
22025,25,2009-12,2011-12,25,3970
22026,25,2009-12,2011-12,25,4029
22027,25,2009-12,2011-12,25,11297
22028,25,2009-12,2011-12,25,6344
22029,25,2009-12,2011-12,25,17602
22030,24,2009-12,2011-12,25,12735
22031,25,2009-12,2011-12,25,1125
22032,23,2009-12,2011-11,24,980
22033,20,2009-12,2011-11,24,1603
22034,9,2009-12,2011-11,24,1617
22035,23,2009-12,2011-10,23,4083
22036,10,2009-12,2010-10,11,1649
22037,24,2009-12,2011-12,25,7054
22038,21,2009-12,2011-12,25,1150
22039,15,2009-12,2011-10,23,850
22040,23,2009-12,2011-11,24,2815
22041,25,2009-12,2011-12,25,7540
22042,16,2009-12,2011-12,25,1738
22043,15,2009-12,2011-12,25,2197
22044,11,2009-12,2011-11,24,1940
22045,25,2009-12,2011-12,25,14542
22046,25,2009-12,2011-12,25,6375
22047,25,2009-12,2011-12,25,8250
22048,24,2009-12,2011-12,25,2815
22049,9,2009-12,2011-10,23,3500
22050,25,2009-12,2011-12,25,3300
22051,24,2009-12,2011-11,24,3175
22052,18,2009-12,2011-07,20,3525
22053,22,2009-12,2011-11,24,4551
22054,4,2009-12,2010-03,4,361
22055,25,2009-12,2011-12,25,4925
22056,8,2009-12,2010-07,8,607
22057,25,2009-12,2011-12,25,3060
22058,12,2009-12,2010-11,12,520
22059,25,2009-12,2011-12,25,4940
22060,18,2009-12,2011-05,18,733
22061,25,2009-12,2011-12,25,2171
22062,23,2009-12,2011-10,23,761
22063,25,2009-12,2011-12,25,2303
22064,25,2009-12,2011-12,25,6606
22065,20,2009-12,2011-12,25,8640
22066,25,2009-12,2011-12,25,3435
22067,25,2009-12,2011-12,25,1855
22068,25,2009-12,2011-12,25,1112
22069,25,2009-12,2011-12,25,968
22070,25,2009-12,2011-12,25,1835
22071,25,2009-12,2011-12,25,1530
22072,25,2009-12,2011-12,25,2405
22073,18,2009-12,2011-05,18,2124
22074,25,2009-12,2011-12,25,2156
22075,24,2009-12,2011-12,25,3079
22076,25,2009-12,2011-12,25,2353
22077,24,2009-12,2011-12,25,17238
22078,23,2009-12,2011-12,25,3984
22079,25,2009-12,2011-12,25,5028
22080,21,2009-12,2011-12,25,3887
22081,25,2009-12,2011-12,25,1559
22082,25,2009-12,2011-12,25,7267
22083,25,2009-12,2011-12,25,13716
22084,23,2009-12,2011-12,25,8803
22085,25,2009-12,2011-12,25,2538
22086,24,2009-12,2011-12,25,35084
22087,20,2009-12,2011-12,25,8475
22088,20,2009-12,2011-07,20,4399
22089,25,2009-12,2011-12,25,3506
22090,25,2009-12,2011-12,25,16698
22091,25,2009-12,2011-12,25,3179
22092,22,2009-12,2011-12,25,933
22093,24,2009-12,2011-12,25,2346
22094,25,2009-12,2011-12,25,3557
22095,25,2009-12,2011-12,25,2978
22096,24,2009-12,2011-12,25,1667
22097,25,2009-12,2011-12,25,2064
22098,25,2009-12,2011-12,25,2865
22099,25,2009-12,2011-12,25,2123
22100,23,2009-12,2011-12,25,1005
22101,25,2009-12,2011-12,25,1909
22102,23,2009-12,2011-11,24,1842
22103,21,2009-12,2011-10,23,1746
22104,24,2009-12,2011-12,25,1187
22105,22,2009-12,2011-12,25,692
22106,24,2010-01,2011-12,24,509
22107,25,2009-12,2011-12,25,1240
22108,23,2009-12,2011-12,25,313
22109,25,2009-12,2011-12,25,3338
22110,25,2009-12,2011-12,25,2609
22111,25,2009-12,2011-12,25,9776
22112,25,2009-12,2011-12,25,11065
22113,17,2009-12,2011-12,25,5759
22114,21,2009-12,2011-12,25,11677
22115,25,2009-12,2011-12,25,2889
22116,25,2009-12,2011-12,25,823
22117,25,2009-12,2011-12,25,1765
22118,23,2009-12,2011-12,25,799
22119,25,2009-12,2011-12,25,896
22120,21,2009-12,2011-12,25,1018
22121,19,2009-12,2011-12,25,1481
22122,9,2009-12,2010-08,9,1095
22123,25,2009-12,2011-12,25,655
22124,24,2009-12,2011-12,25,298
22125,6,2009-12,2011-11,24,653
22127,16,2009-12,2011-03,16,3468
22128,24,2009-12,2011-11,24,3923
22129,25,2009-12,2011-12,25,3246
22130,23,2009-12,2011-12,25,9737
22131,25,2009-12,2011-12,25,5243
22132,25,2009-12,2011-12,25,3345
22133,25,2009-12,2011-12,25,2464
22134,25,2009-12,2011-12,25,2354
22135,25,2009-12,2011-12,25,1624
22136,24,2009-12,2011-12,25,1989
22137,19,2009-12,2011-08,21,606
22138,25,2009-12,2011-12,25,9366
22139,25,2009-12,2011-12,25,10609
22141,14,2009-12,2011-12,25,3663
22142,13,2009-12,2011-12,25,4300
22143,9,2009-12,2010-10,11,446
22144,17,2009-12,2011-12,25,5134
22145,12,2009-12,2010-12,13,1306
22146,10,2009-12,2011-01,14,1413
22147,25,2009-12,2011-12,25,12828
22148,22,2009-12,2011-12,25,3237
22149,24,2009-12,2011-11,24,12674
22150,25,2009-12,2011-12,25,7815
22151,25,2009-12,2011-12,25,27562
22152,23,2009-12,2011-12,25,6241
22153,19,2009-12,2011-12,25,5705
22154,21,2009-12,2011-12,25,7114
22155,25,2009-12,2011-12,25,5925
22156,25,2009-12,2011-12,25,6156
22157,10,2009-12,2011-08,21,1698
22158,22,2009-12,2011-12,25,8985
22161,25,2009-12,2011-12,25,6726
22162,23,2009-12,2011-11,24,1218
22163,24,2009-12,2011-12,25,1269
22164,15,2009-12,2011-11,24,315
22165,25,2009-12,2011-12,25,976
22166,25,2009-12,2011-12,25,440
22167,25,2009-12,2011-12,25,690
22168,17,2009-12,2011-04,17,659
22169,24,2009-12,2011-12,25,2275
22170,24,2009-12,2011-12,25,2385
22171,25,2009-12,2011-12,25,3141
22172,10,2009-12,2010-09,10,378
22173,22,2009-12,2011-12,25,5026
22174,23,2009-12,2011-12,25,5122
22175,25,2009-12,2011-12,25,1824
22176,23,2009-12,2011-10,23,1184
22177,7,2009-12,2010-08,9,325
22178,25,2009-12,2011-12,25,40081
22179,25,2009-12,2011-12,25,2023
22180,24,2009-12,2011-11,24,975
22181,24,2009-12,2011-11,24,1538
22182,25,2009-12,2011-12,25,561
22183,20,2009-12,2011-11,24,586
22184,14,2009-12,2011-01,14,389
22185,25,2009-12,2011-12,25,3896
22186,21,2009-12,2011-12,25,2004
22187,19,2009-12,2011-12,25,2104
22188,24,2009-12,2011-12,25,10353
22189,24,2009-12,2011-12,25,16186
22190,25,2009-12,2011-12,25,1400
22191,23,2009-12,2011-12,25,1967
22192,23,2009-12,2011-12,25,1426
