stock_code,description,forecast_origin,target_month,model,forecast,sigma,sigma_source,n_residuals_product,z,safety_stock,target_inventory,uncertainty_ratio,abc_class,last_month_units,ma3_units,months_since_last_sale,product_age_months,status,run_id
21269,ANTIQUE CREAM CUTLERY SHELF,2011-11,2011-12,M2_gbm_poisson,4.923740,3.272839,product,18,1.645000,5.383821,11,0.664706,B,1,1.666667,1,24,Forecast,20260818T075922Z-deb02f
21270,ANTIQUE CREAM CUTLERY CUPBOARD,2011-11,2011-12,M2_gbm_poisson,3.889151,2.921093,product,18,1.645000,4.805197,9,0.751087,C,1,0.666667,1,24,Forecast,20260818T075922Z-deb02f
21272,SALLE DE BAIN HOOK,2011-11,2011-12,M2_gbm_poisson,3.645793,38.051596,product,18,1.645000,62.594876,67,10.437126,B,0,0.000000,4,24,Forecast,20260818T075922Z-deb02f
21274,EMBOSSED HEART 3 DRAWER SHELF,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21275,ZINC TOP  2 DOOR WOODEN SHELF,2011-11,2011-12,M2_gbm_poisson,4.308639,2.931545,product,18,1.645000,4.822391,10,0.680388,B,1,0.333333,1,24,Forecast,20260818T075922Z-deb02f
21276,TWO EMBOSSED HEART MINI DRAWERS,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21277,FRENCH STYLE EMBOSSED HEART CABINET,2011-11,2011-12,M2_gbm_poisson,8.570063,3.622881,product,18,1.645000,5.959640,15,0.422737,B,4,3.666667,1,24,Forecast,20260818T075922Z-deb02f
21278,VINTAGE KITCHEN PRINT PUDDINGS,2011-11,2011-12,M2_gbm_poisson,2.080312,17.827153,product,18,1.645000,29.325667,32,8.569462,B,0,0.000000,5,24,Forecast,20260818T075922Z-deb02f
21279,VINTAGE KITCHEN PRINT FRUITS,2011-11,2011-12,M2_gbm_poisson,8.098365,15.796732,product,18,1.645000,25.985625,35,1.950608,B,0,4.666667,3,24,Forecast,20260818T075922Z-deb02f
21280,VINTAGE KITCHEN PRINT VEGETABLES,2011-11,2011-12,M2_gbm_poisson,9.458295,16.297184,product,18,1.645000,26.808868,37,1.723057,B,6,2.000000,1,24,Forecast,20260818T075922Z-deb02f
21281,VINTAGE KITCHEN PRINT SEAFOOD,2011-11,2011-12,M2_gbm_poisson,5.663945,4.515851,product,17,1.645000,7.428575,14,0.797298,B,3,1.000000,1,24,Forecast,20260818T075922Z-deb02f
21282,NATURAL BARK CANDLE LARGE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21283,NATURAL BARK CANDLE SMALL,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21284,RETROSPOT CANDLE  SMALL,2011-11,2011-12,M2_gbm_poisson,18.796736,18.619158,product,18,1.645000,30.628515,50,0.990553,B,5,14.333333,1,24,Forecast,20260818T075922Z-deb02f
21285,RETROSPOT CANDLE  MEDIUM,2011-11,2011-12,M2_gbm_poisson,39.532454,19.289886,product,18,1.645000,31.731863,72,0.487951,B,34,20.333333,1,24,Forecast,20260818T075922Z-deb02f
21286,RETROSPOT CANDLE  LARGE,2011-11,2011-12,M2_gbm_poisson,24.643202,28.450575,product,18,1.645000,46.801196,72,1.154500,B,6,18.666667,1,24,Forecast,20260818T075922Z-deb02f
21287,SCENTED VELVET LOUNGE CANDLE,2011-11,2011-12,M2_gbm_poisson,159.461756,95.454310,product,18,1.645000,157.022340,317,0.598603,B,564,314.000000,1,24,Forecast,20260818T075922Z-deb02f
21288,STRIPEY CHOCOLATE NESTING BOXES,2011-11,2011-12,M2_gbm_poisson,40.290596,40.778839,product,18,1.645000,67.081190,108,1.012118,B,22,54.000000,1,24,Forecast,20260818T075922Z-deb02f
21289,LARGE STRIPES CHOCOLATE GIFT BAG,2011-11,2011-12,M2_gbm_poisson,36.062662,32.713198,product,18,1.645000,53.813211,90,0.907121,B,22,53.333333,1,24,Forecast,20260818T075922Z-deb02f
21290,LARGE SPOTTY CHOCOLATE GIFT BAG,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21291,SMALL SPOTTY CHOCOLATE GIFT BAG,2011-11,2011-12,M2_gbm_poisson,56.111058,65.715133,product,18,1.645000,108.101394,165,1.171162,B,99,71.000000,1,24,Forecast,20260818T075922Z-deb02f
21292,SMALL STRIPES CHOCOLATE GIFT BAG,2011-11,2011-12,M2_gbm_poisson,43.894155,101.569738,product,18,1.645000,167.082220,211,2.313970,B,64,53.666667,1,24,Forecast,20260818T075922Z-deb02f
21293,MIRRORED DOVE WALL DECORATION,2011-11,2011-12,M2_gbm_poisson,39.165841,16.440032,product,18,1.645000,27.043853,67,0.419754,C,37,21.333333,1,24,Forecast,20260818T075922Z-deb02f
21294,ETCHED GLASS COASTER,2011-11,2011-12,M2_gbm_poisson,21.424675,72.745919,product,18,1.645000,119.667036,142,3.395427,B,0,25.333333,2,24,Forecast,20260818T075922Z-deb02f
21298,EDWARDIAN 2 DRAWER WALL CABINET,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21299,EDWARDIAN TOILET ROLL UNIT,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21300,ANTIQUE EDWARDIAN DRESSER,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21303,FILIGREE WALL MIRROR  ANTIQUE WHITE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21304,ARCHED GREY MIRROR,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21306,SET/4 DAISY MIRROR MAGNETS,2011-11,2011-12,M2_gbm_poisson,65.793889,4.975309,product,18,1.645000,8.184383,74,0.075620,C,108,96.000000,1,24,Forecast,20260818T075922Z-deb02f
21307,SET/4 BUTTERFLY MIRROR MAGNETS,2011-11,2011-12,M2_gbm_poisson,2.048169,11.697417,product,18,1.645000,19.242252,22,5.711158,C,0,0.000000,5,24,Forecast,20260818T075922Z-deb02f
21308,LOUVRE VANITY MIRROR,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21309,LOUVRE CHALKBOARD,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21310,CAPIZ CHANDELIER,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21311,SET/4 BIRD MIRROR MAGNETS,2011-11,2011-12,M2_gbm_poisson,42.604581,15.494801,product,18,1.645000,25.488947,69,0.363689,C,45,28.000000,1,24,Forecast,20260818T075922Z-deb02f
21312,LARGE CHUNKY GLASS ROMAN BOWL,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21313,GLASS HEART T-LIGHT HOLDER,2011-11,2011-12,M2_gbm_poisson,114.174189,122.147782,product,18,1.645000,200.933101,316,1.069837,A,293,284.000000,1,24,Forecast,20260818T075922Z-deb02f
21314,SMALL GLASS HEART TRINKET POT,2011-11,2011-12,M2_gbm_poisson,213.436765,144.276550,product,18,1.645000,237.334925,451,0.675969,A,403,402.333333,1,24,Forecast,20260818T075922Z-deb02f
21316,SMALL CHUNKY GLASS ROMAN  BOWL,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21317,GLASS SPHERE CANDLE STAND MEDIUM,2011-11,2011-12,M2_gbm_poisson,35.447714,9.139043,product,18,1.645000,15.033726,51,0.257818,B,25,20.333333,1,24,Forecast,20260818T075922Z-deb02f
21318,GLASS CHALICE BLUE SMALL,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21319,GLASS CHALICE GREEN  SMALL,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21320,GLASS CHALICE GREEN  LARGE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21321,GLASS CHALICE BLUE  LARGE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21322,GLASS SPHERE CANDLE STAND LARGE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21323,HANGING MEDINA LANTERN LARGE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21324,HANGING MEDINA LANTERN SMALL,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21326,AGED GLASS SILVER T-LIGHT HOLDER,2011-11,2011-12,M2_gbm_poisson,617.502691,368.426693,product,18,1.645000,606.061910,1224,0.596640,A,1141,1149.000000,1,24,Forecast,20260818T075922Z-deb02f
21327,SKULLS WRITING SET,2011-11,2011-12,M2_gbm_poisson,99.370162,30.884782,product,18,1.645000,50.805466,151,0.310805,B,176,102.000000,1,24,Forecast,20260818T075922Z-deb02f
21328,BALLOONS  WRITING SET,2011-11,2011-12,M2_gbm_poisson,110.698949,69.333641,product,18,1.645000,114.053839,225,0.626326,B,222,155.000000,1,24,Forecast,20260818T075922Z-deb02f
21329,DINOSAURS  WRITING SET,2011-11,2011-12,M2_gbm_poisson,104.525775,56.557928,product,18,1.645000,93.037792,198,0.541091,B,221,137.333333,1,24,Forecast,20260818T075922Z-deb02f
21330,WOODLAND ANIMAL  WRITING SET,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21331,MOROCCAN BEATEN METAL DISH LARGE,2011-11,2011-12,M2_gbm_poisson,4.144187,5.567385,product,18,1.645000,9.158349,14,1.343420,C,1,1.333333,1,24,Forecast,20260818T075922Z-deb02f
21332,MOROCCAN BEATEN METAL MIRROR,2011-11,2011-12,M2_gbm_poisson,2.614460,3.552829,product,18,1.645000,5.844403,9,1.358915,B,0,0.000000,4,24,Forecast,20260818T075922Z-deb02f
21333,CLASSIC WHITE FRAME,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21335,LIBRARY LAMP,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21336,GOLD WASHBAG,2011-11,2011-12,M2_gbm_poisson,2.114785,12.810109,product,18,1.645000,21.072629,24,6.057406,C,0,0.000000,6,24,Forecast,20260818T075922Z-deb02f
21337,SILVER WASHBAG,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21338,MARAKESH LANTERN SMALL,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21339,MARAKESH LANTERN LARGE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,2011-11,2011-12,M2_gbm_poisson,69.831972,31.491239,product,18,1.645000,51.803089,122,0.450957,A,86,69.666667,1,24,Forecast,20260818T075922Z-deb02f
21341,KASBAH LANTERN WITH GLASS,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21343,GOLD JEWELERY BOX,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21344,MOROCCAN BEATEN METAL DISH,2011-11,2011-12,M2_gbm_poisson,7.268189,2.639473,product,18,1.645000,4.341933,12,0.363154,C,5,3.000000,1,24,Forecast,20260818T075922Z-deb02f
21347,GOTHIC CARRIAGE LANTERN,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21348,PINK SPOTS CHOCOLATE NESTING BOXES,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21349,IVY HEART WREATH,2011-11,2011-12,M2_gbm_poisson,5.266984,7.171707,product,14,1.645000,11.797458,18,1.361634,A,1,2.000000,1,24,Forecast,20260818T075922Z-deb02f
21350,GINGHAM HEART WREATH,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21351,CINAMMON & ORANGE WREATH,2011-11,2011-12,M2_gbm_poisson,27.805747,8.497003,product,16,1.645000,13.977570,42,0.305584,A,22,12.666667,1,24,Forecast,20260818T075922Z-deb02f
21352,EUCALYPTUS & PINECONE  WREATH,2011-11,2011-12,M2_gbm_poisson,38.172303,30.870030,product,16,1.645000,50.781199,89,0.808702,B,22,91.333333,1,24,Forecast,20260818T075922Z-deb02f
21353,SILVER SLEIGHBELL  WREATH,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21354,TOAST ITS - BEST MUM,2011-11,2011-12,M2_gbm_poisson,63.641981,43.625431,product,18,1.645000,71.763834,136,0.685482,B,96,60.000000,1,24,Forecast,20260818T075922Z-deb02f
21355,TOAST ITS - I LOVE YOU,2011-11,2011-12,M2_gbm_poisson,27.835572,12.999585,product,18,1.645000,21.384317,50,0.467013,A,16,9.333333,1,24,Forecast,20260818T075922Z-deb02f
21356,TOAST ITS - FAIRY FLOWER,2011-11,2011-12,M2_gbm_poisson,85.123968,34.630200,product,18,1.645000,56.966679,143,0.406821,B,157,111.333333,1,24,Forecast,20260818T075922Z-deb02f
21357,TOAST ITS - DINOSAUR,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21358,TOAST ITS - HAPPY BIRTHDAY,2011-11,2011-12,M2_gbm_poisson,55.202421,27.575915,product,18,1.645000,45.362381,101,0.499542,B,59,43.333333,1,24,Forecast,20260818T075922Z-deb02f
21359,RELAX LARGE WOOD LETTERS,2011-11,2011-12,M2_gbm_poisson,3.046930,5.236988,product,18,1.645000,8.614845,12,1.718775,B,0,0.000000,4,24,Forecast,20260818T075922Z-deb02f
21360,JOY LARGE WOOD LETTERS,2011-11,2011-12,M2_gbm_poisson,2.043711,9.340083,product,18,1.645000,15.364437,18,4.570158,B,0,0.000000,6,24,Forecast,20260818T075922Z-deb02f
21361,LOVE LARGE WOOD LETTERS,2011-11,2011-12,M2_gbm_poisson,2.033330,11.133214,product,18,1.645000,18.314137,21,5.475361,A,0,0.000000,5,22,Forecast,20260818T075922Z-deb02f
21363,HOME SMALL WOOD LETTERS,2011-11,2011-12,M2_gbm_poisson,3.939020,16.619353,product,18,1.645000,27.338836,32,4.219160,A,0,2.000000,3,23,Forecast,20260818T075922Z-deb02f
21364,PEACE SMALL WOOD LETTERS,2011-11,2011-12,M2_gbm_poisson,3.463376,5.930697,product,18,1.645000,9.755996,14,1.712403,A,0,1.666667,2,24,Forecast,20260818T075922Z-deb02f
21365,MIRRORED WALL ART STARS,2011-11,2011-12,M2_gbm_poisson,35.910864,20.241567,product,18,1.645000,33.297378,70,0.563661,C,20,26.333333,1,24,Forecast,20260818T075922Z-deb02f
21366,MIRRORED WALL ART PHOTO FRAMES,2011-11,2011-12,M2_gbm_poisson,10.525403,6.319731,product,18,1.645000,10.395957,21,0.600426,B,4,3.333333,1,24,Forecast,20260818T075922Z-deb02f
21367,MIRRORED WALL ART GENTS,2011-11,2011-12,M2_gbm_poisson,19.392392,13.488102,product,18,1.645000,22.187927,42,0.695536,C,12,13.333333,1,24,Forecast,20260818T075922Z-deb02f
21368,MIRRORED WALL ART LADIES,2011-11,2011-12,M2_gbm_poisson,22.798937,9.962257,product,18,1.645000,16.387912,40,0.436961,C,10,12.333333,1,24,Forecast,20260818T075922Z-deb02f
21369,MIRRORED WALL ART SPLODGES,2011-11,2011-12,M2_gbm_poisson,14.202020,8.859350,product,18,1.645000,14.573631,29,0.623809,C,2,9.666667,1,24,Forecast,20260818T075922Z-deb02f
21370,MIRRORED WALL ART FOXY,2011-11,2011-12,M2_gbm_poisson,12.341805,1.290159,product,13,1.645000,2.122311,15,0.104536,C,7,2.333333,1,24,Forecast,20260818T075922Z-deb02f
21371,MIRRORED WALL ART POPPIES,2011-11,2011-12,M2_gbm_poisson,17.538583,25.308427,product,18,1.645000,41.632362,60,1.443014,C,4,9.333333,1,24,Forecast,20260818T075922Z-deb02f
21372,MIRRORED WALL ART TABLE LAMP,2011-11,2011-12,M2_gbm_poisson,19.558159,12.239456,product,18,1.645000,20.133905,40,0.625798,C,11,11.333333,1,24,Forecast,20260818T075922Z-deb02f
21373,MIRRORED WALL ART SNOWFLAKES,2011-11,2011-12,M2_gbm_poisson,65.833296,31.947361,product,17,1.645000,52.553409,119,0.485277,C,112,73.000000,1,24,Forecast,20260818T075922Z-deb02f
21374,MIRRORED WALL ART SKULLS,2011-11,2011-12,M2_gbm_poisson,38.855492,21.115337,product,18,1.645000,34.734730,74,0.543433,C,27,28.333333,1,24,Forecast,20260818T075922Z-deb02f
21375,LARGE CAMPHOR WOOD FIELD MUSHROOM,2011-11,2011-12,M2_gbm_poisson,5.647323,2.141986,product,18,1.645000,3.523568,10,0.379292,C,1,2.000000,1,24,Forecast,20260818T075922Z-deb02f
21376,LARGE  TALL CAMPHOR WOOD TOADSTOOL,2011-11,2011-12,M2_gbm_poisson,7.149456,6.254496,product,18,1.645000,10.288647,18,0.874821,C,2,2.666667,1,24,Forecast,20260818T075922Z-deb02f
21377,SMALL CAMPHOR WOOD FIELD  MUSHROOM,2011-11,2011-12,M2_gbm_poisson,17.925731,9.542384,product,18,1.645000,15.697222,34,0.532329,C,12,9.000000,1,24,Forecast,20260818T075922Z-deb02f
21378,SMALL TALL CAMPHOR WOOD TOADSTOOL,2011-11,2011-12,M2_gbm_poisson,19.573774,17.161688,product,18,1.645000,28.230977,48,0.876770,C,8,9.666667,1,24,Forecast,20260818T075922Z-deb02f
21379,CAMPHOR WOOD PORTOBELLO MUSHROOM,2011-11,2011-12,M2_gbm_poisson,25.755692,17.070508,product,18,1.645000,28.080986,54,0.662786,C,8,15.666667,1,24,Forecast,20260818T075922Z-deb02f
21380,WOODEN HAPPY BIRTHDAY GARLAND,2011-11,2011-12,M2_gbm_poisson,108.825225,129.898221,product,18,1.645000,213.682574,323,1.193641,A,95,144.000000,1,24,Forecast,20260818T075922Z-deb02f
21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,2011-11,2011-12,M2_gbm_poisson,69.743692,119.985558,product,18,1.645000,197.376243,268,1.720379,A,86,107.666667,1,24,Forecast,20260818T075922Z-deb02f
21382,SET/4 SPRING FLOWER DECORATION,2011-11,2011-12,M2_gbm_poisson,69.035316,35.550228,product,18,1.645000,58.480124,128,0.514957,C,62,129.666667,1,19,Forecast,20260818T075922Z-deb02f
21383,PACK OF 12 STICKY BUNNIES,2011-11,2011-12,M2_gbm_poisson,48.015027,19.413980,product,18,1.645000,31.935997,80,0.404331,B,54,21.333333,1,24,Forecast,20260818T075922Z-deb02f
21384,IVORY HANGING DECORATION  BUTTERFLY,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21385,IVORY HANGING DECORATION  HEART,2011-11,2011-12,M2_gbm_poisson,116.160677,259.845887,product,18,1.645000,427.446485,544,2.236952,A,121,205.000000,1,24,Forecast,20260818T075922Z-deb02f
21386,IVORY HANGING DECORATION  EGG,2011-11,2011-12,M2_gbm_poisson,80.057926,32.070862,product,18,1.645000,52.756568,133,0.400596,C,76,70.000000,1,23,Forecast,20260818T075922Z-deb02f
21387,IVORY HANGING DECORATION  RABBIT,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21388,IVORY HANGING DECORATION  CHICKEN,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21389,IVORY HANGING DECORATION  BIRD,2011-11,2011-12,M2_gbm_poisson,33.647374,52.084331,product,18,1.645000,85.678725,120,1.547946,B,22,19.666667,1,24,Forecast,20260818T075922Z-deb02f
21390,FILIGRIS HEART WITH BUTTERFLY,2011-11,2011-12,M2_gbm_poisson,154.881779,174.616551,product,18,1.645000,287.244226,443,1.127418,A,179,416.666667,1,24,Forecast,20260818T075922Z-deb02f
21391,FRENCH LAVENDER SCENT HEART,2011-11,2011-12,M2_gbm_poisson,21.436549,33.375772,product,18,1.645000,54.903145,77,1.556956,B,1,14.333333,1,24,Forecast,20260818T075922Z-deb02f
21392,RED SPOTTY PUDDING BOWL,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21393,BLUE  SPOTTY PUDDING BOWL,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21394,RED POLKADOT BEAKER,2011-11,2011-12,M2_gbm_poisson,125.754806,69.813632,product,18,1.645000,114.843425,241,0.555157,B,28,166.000000,1,23,Forecast,20260818T075922Z-deb02f
21395,BLUE POLKADOT BEAKER,2011-11,2011-12,M2_gbm_poisson,42.438475,20.292124,product,18,1.645000,33.380544,76,0.478154,C,8,9.666667,1,24,Forecast,20260818T075922Z-deb02f
21396,RED SPOTTY EGG CUP,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21397,BLUE  SPOTTY EGG CUP,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21398,RED POLKADOT COFFEE  MUG,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21399,BLUE POLKADOT COFFEE MUG,2011-11,2011-12,M2_gbm_poisson,2.082963,30.715543,product,18,1.645000,50.527068,53,14.746085,B,0,0.000000,6,24,Forecast,20260818T075922Z-deb02f
21400,RED PUDDING SPOON,2011-11,2011-12,M2_gbm_poisson,69.226282,49.341299,product,18,1.645000,81.166436,151,0.712754,C,90,103.333333,1,24,Forecast,20260818T075922Z-deb02f
21401,BLUE PUDDING SPOON,2011-11,2011-12,M2_gbm_poisson,93.367163,55.882826,product,18,1.645000,91.927249,186,0.598528,C,70,98.000000,1,24,Forecast,20260818T075922Z-deb02f
21402,RED  EGG  SPOON,2011-11,2011-12,M2_gbm_poisson,80.962388,43.409416,product,18,1.645000,71.408489,153,0.536168,C,213,145.000000,1,24,Forecast,20260818T075922Z-deb02f
21403,BLUE EGG  SPOON,2011-11,2011-12,M2_gbm_poisson,106.954568,88.068738,product,18,1.645000,144.873074,252,0.823422,C,271,183.666667,1,24,Forecast,20260818T075922Z-deb02f
21406,SPOTTY CAT DOORSTOP,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21407,BROWN CHECK CAT DOORSTOP,2011-11,2011-12,M2_gbm_poisson,19.489769,21.252181,product,18,1.645000,34.959838,55,1.090428,A,4,24.000000,1,24,Forecast,20260818T075922Z-deb02f
21408,SPOTTY PINK DUCK DOORSTOP,2011-11,2011-12,M2_gbm_poisson,37.153132,17.607654,product,18,1.645000,28.964591,67,0.473921,B,27,21.666667,1,24,Forecast,20260818T075922Z-deb02f
21409,SPOTTY COCKEREL DOORSTOP,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21410,COUNTRY COTTAGE  DOORSTOP GREEN,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21411,GINGHAM HEART  DOORSTOP RED,2011-11,2011-12,M2_gbm_poisson,61.246633,16.962427,product,18,1.645000,27.903192,90,0.276953,A,71,56.666667,1,24,Forecast,20260818T075922Z-deb02f
21412,VINTAGE GOLD TINSEL REEL,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21413,PERIWINKLE T-LIGHT HOLDER,2011-11,2011-12,M2_gbm_poisson,8.860135,9.436823,product,18,1.645000,15.523574,25,1.065088,B,4,2.666667,1,24,Forecast,20260818T075922Z-deb02f
21414,SCALLOP SHELL SOAP DISH,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21415,CLAM SHELL SMALL,2011-11,2011-12,M2_gbm_poisson,31.450795,17.590308,product,18,1.645000,28.936056,61,0.559296,C,15,26.333333,1,24,Forecast,20260818T075922Z-deb02f
21416,CLAM SHELL LARGE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21417,COCKLE SHELL DISH,2011-11,2011-12,M2_gbm_poisson,33.698321,17.893277,product,18,1.645000,29.434441,64,0.530984,C,22,23.666667,1,24,Forecast,20260818T075922Z-deb02f
21418,STARFISH SOAP DISH,2011-11,2011-12,M2_gbm_poisson,8.386569,8.228504,product,18,1.645000,13.535889,22,0.981153,C,0,3.333333,2,24,Forecast,20260818T075922Z-deb02f
21419,CONCH SHELL,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21420,OYSTER TRINKET BOX,2011-11,2011-12,M2_gbm_poisson,8.731703,5.298368,product,18,1.645000,8.715815,18,0.606797,C,4,2.333333,1,23,Forecast,20260818T075922Z-deb02f
21421,PORCELAIN ROSE LARGE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,B,0,,,,Inactive (no sales in last 6 months),20260818T075922Z-deb02f
21422,PORCELAIN ROSE SMALL,2011-11,2011-12,M2_gbm_poisson,61.357065,74.591385,product,18,1.645000,122.702829,185,1.215693,B,24,273.666667,1,24,Forecast,20260818T075922Z-deb02f
21424,WOODLAND STORAGE BOX LARGE,2011-11,2011-12,M2_gbm_poisson,19.165212,38.464871,product,18,1.645000,63.274713,83,2.007015,B,0,23.000000,2,24,Forecast,20260818T075922Z-deb02f
21425,SKULLS STORAGE BOX LARGE,2011-11,2011-12,M2_gbm_poisson,25.527980,18.554517,product,18,1.645000,30.522180,57,0.726831,B,16,10.000000,1,24,Forecast,20260818T075922Z-deb02f
21426,WOODLAND STORAGE BOX SMALL,2011-11,2011-12,M2_gbm_poisson,41.209442,41.011755,product,18,1.645000,67.464338,109,0.995203,B,36,26.333333,1,24,Forecast,20260818T075922Z-deb02f
